student_code,age,bac_level,subject,eval_type,mark
774775ff88297314ea8686c0785f9b8ec0ba6c08fe90dc80cdb5314e984a4136,17.166666666666668,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,18.5
774775ff88297314ea8686c0785f9b8ec0ba6c08fe90dc80cdb5314e984a4136,17.166666666666668,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,16.0
774775ff88297314ea8686c0785f9b8ec0ba6c08fe90dc80cdb5314e984a4136,17.166666666666668,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,12.75
774775ff88297314ea8686c0785f9b8ec0ba6c08fe90dc80cdb5314e984a4136,17.166666666666668,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,11.5
774775ff88297314ea8686c0785f9b8ec0ba6c08fe90dc80cdb5314e984a4136,17.166666666666668,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,16.0
e304257f73defb90f3ac0348479b4d97fef4e1f3ce94163b6a4dabb332c2311f,17.5,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,10.0
e304257f73defb90f3ac0348479b4d97fef4e1f3ce94163b6a4dabb332c2311f,17.5,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,0.0
e304257f73defb90f3ac0348479b4d97fef4e1f3ce94163b6a4dabb332c2311f,17.5,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,5.25
e304257f73defb90f3ac0348479b4d97fef4e1f3ce94163b6a4dabb332c2311f,17.5,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,0.25
e304257f73defb90f3ac0348479b4d97fef4e1f3ce94163b6a4dabb332c2311f,17.5,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,4.0
089cbcd7ab9beea0aef9b54b898e57986d20e6c3fa48d9a5fb162093b2e28c1f,17.583333333333332,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,17.0
089cbcd7ab9beea0aef9b54b898e57986d20e6c3fa48d9a5fb162093b2e28c1f,17.583333333333332,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,11.75
089cbcd7ab9beea0aef9b54b898e57986d20e6c3fa48d9a5fb162093b2e28c1f,17.583333333333332,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,13.5
089cbcd7ab9beea0aef9b54b898e57986d20e6c3fa48d9a5fb162093b2e28c1f,17.583333333333332,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,15.75
089cbcd7ab9beea0aef9b54b898e57986d20e6c3fa48d9a5fb162093b2e28c1f,17.583333333333332,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,6.5
c25cb1801a00d4b4f65c451370415fa4467711324f3785e60831df6cd2d5c5dc,17.166666666666668,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,16.5
c25cb1801a00d4b4f65c451370415fa4467711324f3785e60831df6cd2d5c5dc,17.166666666666668,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,15.0
c25cb1801a00d4b4f65c451370415fa4467711324f3785e60831df6cd2d5c5dc,17.166666666666668,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,11.75
c25cb1801a00d4b4f65c451370415fa4467711324f3785e60831df6cd2d5c5dc,17.166666666666668,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,13.0
c25cb1801a00d4b4f65c451370415fa4467711324f3785e60831df6cd2d5c5dc,17.166666666666668,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,10.5
faf6506a7303857be37b2b3377f1ec25e7edbc027d82c829117eb3ef16567f5f,19.25,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,16.0
faf6506a7303857be37b2b3377f1ec25e7edbc027d82c829117eb3ef16567f5f,19.25,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,15.0
faf6506a7303857be37b2b3377f1ec25e7edbc027d82c829117eb3ef16567f5f,19.25,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,16.0
faf6506a7303857be37b2b3377f1ec25e7edbc027d82c829117eb3ef16567f5f,19.25,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,14.75
faf6506a7303857be37b2b3377f1ec25e7edbc027d82c829117eb3ef16567f5f,19.25,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,7.0
229c45ecb373ae866fb31deea2b24c6984087198b6c718ced3d28b5f7b420f80,17.5,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,17.0
229c45ecb373ae866fb31deea2b24c6984087198b6c718ced3d28b5f7b420f80,17.5,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,18.75
229c45ecb373ae866fb31deea2b24c6984087198b6c718ced3d28b5f7b420f80,17.5,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,13.25
229c45ecb373ae866fb31deea2b24c6984087198b6c718ced3d28b5f7b420f80,17.5,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,14.75
229c45ecb373ae866fb31deea2b24c6984087198b6c718ced3d28b5f7b420f80,17.5,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,15.5
0a963245a42c3294bef7a1f93606c98a1e69b1f1b5cadd46fa17cec79bdf8afc,17.75,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,18.0
0a963245a42c3294bef7a1f93606c98a1e69b1f1b5cadd46fa17cec79bdf8afc,17.75,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,8.75
0a963245a42c3294bef7a1f93606c98a1e69b1f1b5cadd46fa17cec79bdf8afc,17.75,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,11.75
0a963245a42c3294bef7a1f93606c98a1e69b1f1b5cadd46fa17cec79bdf8afc,17.75,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,11.5
0a963245a42c3294bef7a1f93606c98a1e69b1f1b5cadd46fa17cec79bdf8afc,17.75,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,8.0
d7a7aea35d087926e35f85a3f3d8fe85983cf7985ce3d6853ab2fef90a3c405a,17.25,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,14.5
d7a7aea35d087926e35f85a3f3d8fe85983cf7985ce3d6853ab2fef90a3c405a,17.25,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,5.25
d7a7aea35d087926e35f85a3f3d8fe85983cf7985ce3d6853ab2fef90a3c405a,17.25,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,6.75
d7a7aea35d087926e35f85a3f3d8fe85983cf7985ce3d6853ab2fef90a3c405a,17.25,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,5.25
d7a7aea35d087926e35f85a3f3d8fe85983cf7985ce3d6853ab2fef90a3c405a,17.25,2ème Année Bac Sciences Physiques - Option Français,PHILOSOPHIE,National,9.0
404912962244a4be83172573832c9dcc0df022f8a6c5988cb061205689c4ee44,16.833333333333332,2ème Année Bac Sciences Physiques - Option Français,LANGUE ANGLAISE,National,7.5
404912962244a4be83172573832c9dcc0df022f8a6c5988cb061205689c4ee44,16.833333333333332,2ème Année Bac Sciences Physiques - Option Français,MATHEMATIQUES,National,2.25
404912962244a4be83172573832c9dcc0df022f8a6c5988cb061205689c4ee44,16.833333333333332,2ème Année Bac Sciences Physiques - Option Français,SC. DE LA VIE ET DE LA TERRE,National,5.75
404912962244a4be83172573832c9dcc0df022f8a6c5988cb061205689c4ee44,16.833333333333332,2ème Année Bac Sciences Physiques - Option Français,PHYSIQUE CHIMIE,National,3.75
